地区,年份,高考模式,改革起始年,语数外卷型,综合/选考卷型,缺失科目数
西藏,2024,老高考,,全国甲卷 / 新课标全国Ⅱ卷,全国甲卷 / 西藏卷,0
西藏,2025,老高考,,全国Ⅱ卷 / 新课标全国Ⅱ卷,未检出,6
西藏,2026,老高考,,全国Ⅱ卷,未检出,6
陕西,2008,老高考,2025,全国Ⅱ卷 / 陕西卷,全国Ⅱ卷 / 陕西卷,0
陕西,2009,老高考,2025,全国Ⅱ卷 / 陕西卷,全国Ⅱ卷 / 陕西卷,0
陕西,2010,老高考,2025,全国Ⅱ卷 / 陕西卷,全国Ⅱ卷 / 陕西卷,0
陕西,2011,老高考,2025,陕西卷,陕西卷,0
陕西,2012,老高考,2025,陕西卷,陕西卷,0
陕西,2013,老高考,2025,新课标全国Ⅰ卷 / 陕西卷,新课标全国Ⅱ卷,0
陕西,2014,老高考,2025,新课标全国Ⅰ卷 / 陕西卷,新课标全国Ⅱ卷,0
陕西,2015,老高考,2025,新课标全国Ⅰ卷 / 陕西卷,新课标全国Ⅱ卷,0
陕西,2016,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
陕西,2017,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
陕西,2018,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
陕西,2019,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
陕西,2020,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
陕西,2021,老高考,2025,全国乙卷 / 新课标全国Ⅰ卷,全国乙卷,0
陕西,2022,老高考,2025,全国乙卷,全国乙卷,0
陕西,2023,老高考,2025,全国乙卷,全国乙卷,0
陕西,2024,老高考,2025,全国甲卷,全国甲卷,1
陕西,2025,新高考,2025,新高考全国Ⅱ卷,山西卷,1
陕西,2026,新高考,2025,新高考全国Ⅱ卷,陕西卷,0
甘肃,2008,老高考,2024,全国Ⅱ卷 / 甘肃卷,全国Ⅱ卷 / 甘肃卷,0
甘肃,2009,老高考,2024,全国Ⅱ卷 / 甘肃卷,全国Ⅱ卷 / 甘肃卷,0
甘肃,2010,老高考,2024,全国Ⅱ卷 / 新课标全国Ⅱ卷 / 甘肃卷,全国Ⅱ卷 / 甘肃卷,0
甘肃,2011,老高考,2024,甘肃卷,全国Ⅱ卷 / 甘肃卷,0
甘肃,2012,老高考,2024,甘肃卷,甘肃卷,0
甘肃,2013,老高考,2024,新课标全国Ⅱ卷 / 甘肃卷,新课标全国Ⅱ卷,0
甘肃,2014,老高考,2024,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2015,老高考,2024,新课标全国Ⅰ卷 / 新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2016,老高考,2024,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2017,老高考,2024,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2018,老高考,2024,新课标全国Ⅰ卷 / 新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2019,老高考,2024,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2020,老高考,2024,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
甘肃,2021,老高考,2024,全国乙卷 / 新课标全国Ⅰ卷,全国乙卷,0
甘肃,2022,老高考,2024,全国乙卷,全国乙卷,0
甘肃,2023,老高考,2024,全国乙卷,全国乙卷,0
甘肃,2024,新高考,2024,新高考全国Ⅱ卷,甘肃卷,1
甘肃,2025,新高考,2024,新高考全国Ⅰ卷 / 新高考全国Ⅱ卷,甘肃卷,3
甘肃,2026,新高考,2024,新高考全国Ⅱ卷,甘肃卷,5
青海,2008,老高考,2025,全国Ⅱ卷 / 青海卷,全国Ⅱ卷 / 青海卷,0
青海,2009,老高考,2025,全国Ⅱ卷 / 青海卷,全国Ⅱ卷 / 青海卷,0
青海,2010,老高考,2025,全国Ⅱ卷 / 新课标全国Ⅱ卷 / 青海卷,全国Ⅱ卷 / 青海卷,0
青海,2011,老高考,2025,全国Ⅱ卷 / 青海卷,全国Ⅱ卷 / 青海卷,0
青海,2012,老高考,2025,青海卷,青海卷,0
青海,2013,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2014,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2015,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2016,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2017,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2018,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅰ卷 / 新课标全国Ⅱ卷,0
青海,2019,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2020,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
青海,2021,老高考,2025,全国乙卷 / 新课标全国Ⅰ卷,全国乙卷,0
青海,2022,老高考,2025,全国乙卷,全国乙卷,0
青海,2023,老高考,2025,全国乙卷,全国乙卷,0
青海,2024,老高考,2025,全国甲卷,全国甲卷,1
青海,2025,新高考,2025,新高考全国Ⅱ卷,山西卷,1
青海,2026,新高考,2025,新高考全国Ⅱ卷,陕西卷 / 青海卷,0
宁夏,2008,老高考,2025,海南卷,未检出,6
宁夏,2009,老高考,2025,全国Ⅱ卷 / 海南卷,未检出,6
宁夏,2010,老高考,2025,新课标全国Ⅱ卷 / 海南卷,宁夏卷,0
宁夏,2011,老高考,2025,宁夏卷,宁夏卷,0
宁夏,2012,老高考,2025,宁夏卷,宁夏卷,0
宁夏,2013,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2014,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2015,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2016,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2017,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2018,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2019,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2020,老高考,2025,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
宁夏,2021,老高考,2025,全国乙卷 / 新课标全国Ⅰ卷,全国乙卷,0
宁夏,2022,老高考,2025,全国乙卷,全国乙卷,0
宁夏,2023,老高考,2025,全国乙卷,全国乙卷,0
宁夏,2024,老高考,2025,全国甲卷,全国甲卷,1
宁夏,2025,新高考,2025,新高考全国Ⅱ卷,山西卷,1
宁夏,2026,新高考,2025,新高考全国Ⅱ卷,宁夏卷 / 陕西卷,0
新疆,2008,老高考,,全国Ⅱ卷 / 新疆卷,全国Ⅱ卷 / 新疆卷,0
新疆,2009,老高考,,全国Ⅱ卷 / 新疆卷,全国Ⅱ卷 / 新疆卷,0
新疆,2010,老高考,,全国Ⅱ卷 / 新疆卷 / 新课标全国Ⅱ卷,全国Ⅱ卷 / 新疆卷,0
新疆,2011,老高考,,新疆卷,新疆卷,0
新疆,2012,老高考,,新疆卷,新疆卷,0
新疆,2013,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2014,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2015,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2016,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2017,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2018,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2019,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2020,老高考,,新课标全国Ⅱ卷,新课标全国Ⅱ卷,0
新疆,2021,老高考,,全国乙卷 / 新课标全国Ⅰ卷,全国乙卷,0
新疆,2022,老高考,,全国乙卷,全国乙卷,0
新疆,2023,老高考,,全国乙卷,全国乙卷,0
新疆,2024,老高考,,新课标全国Ⅱ卷,新疆卷,0
新疆,2025,老高考,,全国Ⅱ卷,未检出,6
新疆,2026,老高考,,全国Ⅱ卷,未检出,6
