年份,科目,地区或卷区,卷型,PDF,Markdown,听力MP3,OCR方式
2024,数学,全国,全国甲卷,papers/2024/数学/全国/全国甲卷/2024_数学_全国甲卷_原卷.pdf,papers/2024/数学/全国/全国甲卷/2024_数学_全国甲卷_OCR与考点.md,,pypdf
2024,英语,全国,全国甲卷,papers/2024/英语/全国/全国甲卷/2024_英语_全国甲卷_原卷.pdf,papers/2024/英语/全国/全国甲卷/2024_英语_全国甲卷_OCR与考点.md,papers/2024/英语/全国/全国甲卷/2024_英语_全国甲卷_听力.mp3,pypdf
2024,物理,全国,全国甲卷理综,papers/2024/物理/全国/全国甲卷理综/2024_物理_全国甲卷理综_原卷.pdf,papers/2024/物理/全国/全国甲卷理综/2024_物理_全国甲卷理综_OCR与考点.md,,pypdf
2024,化学,全国,全国甲卷理综,papers/2024/化学/全国/全国甲卷理综/2024_化学_全国甲卷理综_原卷.pdf,papers/2024/化学/全国/全国甲卷理综/2024_化学_全国甲卷理综_OCR与考点.md,,pypdf
2024,生物,全国,全国甲卷理综,papers/2024/生物/全国/全国甲卷理综/2024_生物_全国甲卷理综_原卷.pdf,papers/2024/生物/全国/全国甲卷理综/2024_生物_全国甲卷理综_OCR与考点.md,,pypdf
2025,语文,全国,新高考全国Ⅱ卷,papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_原卷.pdf,papers/2025/语文/全国/新高考全国Ⅱ卷/2025_语文_新高考全国Ⅱ卷_OCR与考点.md,,pypdf
2025,数学,全国,新高考全国Ⅱ卷,papers/2025/数学/全国/新高考全国Ⅱ卷/2025_数学_新高考全国Ⅱ卷_原卷.pdf,papers/2025/数学/全国/新高考全国Ⅱ卷/2025_数学_新高考全国Ⅱ卷_OCR与考点.md,,pypdf
2025,英语,全国,新高考全国Ⅱ卷,papers/2025/英语/全国/新高考全国Ⅱ卷/2025_英语_新高考全国Ⅱ卷_原卷.pdf,papers/2025/英语/全国/新高考全国Ⅱ卷/2025_英语_新高考全国Ⅱ卷_OCR与考点.md,papers/2025/英语/全国/新高考全国Ⅱ卷/2025_英语_新高考全国Ⅱ卷_听力.mp3,pypdf
2025,物理,四川,四川卷,papers/2025/物理/四川/四川卷/2025_物理_四川卷_原卷.pdf,papers/2025/物理/四川/四川卷/2025_物理_四川卷_OCR与考点.md,,pypdf
2025,化学,四川,四川卷,papers/2025/化学/四川/四川卷/2025_化学_四川卷_原卷.pdf,papers/2025/化学/四川/四川卷/2025_化学_四川卷_OCR与考点.md,,reused-existing-md
2025,生物,四川,四川卷,papers/2025/生物/四川/四川卷/2025_生物_四川卷_原卷.pdf,papers/2025/生物/四川/四川卷/2025_生物_四川卷_OCR与考点.md,,pypdf
