年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2026,语文,北京,新高考,2020,,missing,,missing,,,0
2026,语文,天津,新高考,2020,,missing,,missing,,,0
2026,语文,河北,新高考,2021,全国卷,common,河北卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\0、全国一卷（语数英）完整版\语文\2026年新高考语文（全国一卷）原卷.pdf,papers/2026/语文/全国/河北卷/2026_语文_河北_河北卷_covered_common.pdf,1
2026,语文,山西,新高考,2025,全国卷,common,全国II卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\1、全国二卷（语数英）完整版\语文\2026高考语文全国Ⅱ卷试题.pdf,papers/2026/语文/全国/全国II卷/2026_语文_山西_全国II卷_covered_common.pdf,1
2026,语文,内蒙古,新高考,2025,全国卷,common,全国II卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\1、全国二卷（语数英）完整版\语文\2026高考语文全国Ⅱ卷试题.pdf,papers/2026/语文/全国/全国II卷/2026_语文_内蒙古_全国II卷_covered_common.pdf,1
2026,语文,辽宁,新高考,2021,全国卷,common,全国II卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\1、全国二卷（语数英）完整版\语文\2026高考语文全国Ⅱ卷试题.pdf,papers/2026/语文/全国/全国II卷/2026_语文_辽宁_全国II卷_covered_common.pdf,1
2026,语文,吉林,新高考,2024,全国卷,common,全国II卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\1、全国二卷（语数英）完整版\语文\2026高考语文全国Ⅱ卷试题.pdf,papers/2026/语文/全国/全国II卷/2026_语文_吉林_全国II卷_covered_common.pdf,1
2026,语文,黑龙江,新高考,2024,全国卷,common,全国II卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\1、全国二卷（语数英）完整版\语文\2026高考语文全国Ⅱ卷试题.pdf,papers/2026/语文/全国/全国II卷/2026_语文_黑龙江_全国II卷_covered_common.pdf,1
2026,语文,上海,新高考,2017,,missing,,missing,,,0
2026,语文,江苏,新高考,2021,全国卷,common,江苏卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\0、全国一卷（语数英）完整版\语文\2026年新高考语文（全国一卷）原卷.pdf,papers/2026/语文/全国/江苏卷/2026_语文_江苏_江苏卷_covered_common.pdf,1
2026,语文,浙江,新高考,2017,全国卷,common,浙江卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\0、全国一卷（语数英）完整版\语文\2026年新高考语文（全国一卷）原卷.pdf,papers/2026/语文/全国/浙江卷/2026_语文_浙江_浙江卷_covered_common.pdf,1
2026,语文,安徽,新高考,2024,全国卷,common,安徽卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\0、全国一卷（语数英）完整版\语文\2026年新高考语文（全国一卷）原卷.pdf,papers/2026/语文/全国/安徽卷/2026_语文_安徽_安徽卷_covered_common.pdf,1
2026,语文,福建,新高考,2021,全国卷,common,福建卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\0、全国一卷（语数英）完整版\语文\2026年新高考语文（全国一卷）原卷.pdf,papers/2026/语文/全国/福建卷/2026_语文_福建_福建卷_covered_common.pdf,1
2026,语文,江西,新高考,2024,全国卷,common,江西卷,covered_common,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\0、全国一卷（语数英）完整版\语文\2026年新高考语文（全国一卷）原卷.pdf,papers/2026/语文/全国/江西卷/2026_语文_江西_江西卷_covered_common.pdf,1
