年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2015,语文,北京,老高考,2020,地方/区域卷,local,北京卷,pdf_only,[打开试卷](../../papers/2015/语文/北京/北京卷/2015_语文_北京卷_原卷.pdf),,,,
2015,语文,天津,老高考,2020,地方/区域卷,local,天津卷,pdf_only,[打开试卷](../../papers/2015/语文/天津/天津卷/2015_语文_天津卷_原卷.pdf),,,,
2015,语文,河北,老高考,2021,全国卷,common,新课标全国Ⅰ卷,pdf_only,[打开试卷](../../papers/2015/语文/全国/新课标全国Ⅰ卷/2015_语文_新课标全国Ⅰ卷_原卷.pdf),,,,
2015,语文,山西,老高考,2025,全国卷,common,新课标全国Ⅰ卷,pdf_only,[打开试卷](../../papers/2015/语文/全国/新课标全国Ⅰ卷/2015_语文_新课标全国Ⅰ卷_原卷.pdf),,,,
2015,语文,内蒙古,老高考,2025,全国卷,common,新课标全国Ⅱ卷,done,[打开试卷](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_OCR与考点.md),,rapidocr,15
2015,语文,辽宁,老高考,2021,全国卷,common,新课标全国Ⅱ卷,done,[打开试卷](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_OCR与考点.md),,rapidocr,15
2015,语文,吉林,老高考,2024,全国卷,common,新课标全国Ⅱ卷,done,[打开试卷](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_OCR与考点.md),,rapidocr,15
2015,语文,黑龙江,老高考,2024,全国卷,common,新课标全国Ⅱ卷,done,[打开试卷](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2015/语文/全国/新课标全国Ⅱ卷/2015_语文_新课标全国Ⅱ卷_OCR与考点.md),,rapidocr,15
2015,语文,上海,老高考,2017,地方/区域卷,local,上海卷,pdf_only,[打开试卷](../../papers/2015/语文/上海/上海卷/2015_语文_上海卷_原卷.pdf),,,,
2015,语文,江苏,老高考,2021,地方/区域卷,local,江苏卷,pdf_only,[打开试卷](../../papers/2015/语文/江苏/江苏卷/2015_语文_江苏卷_原卷.pdf),,,,
