年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2025,生物,上海,新高考,2017,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,江苏,新高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2025/生物/江苏/江苏卷/2025_生物_江苏卷_原卷.pdf,../../papers/2025/生物/江苏/江苏卷/2025_生物_江苏卷_OCR与考点.md,,pypdf,14
2025,生物,浙江,新高考,2017,地方/区域卷,local,浙江卷,missing,../../../..,../../../..,../../../..,,
2025,生物,安徽,新高考,2024,地方/区域卷,local,安徽卷,done,../../papers/2025/生物/安徽/安徽卷/2025_生物_安徽卷_原卷.pdf,../../papers/2025/生物/安徽/安徽卷/2025_生物_安徽卷_OCR与考点.md,,rapidocr,8
2025,生物,福建,新高考,2021,地方/区域卷,local,福建卷,missing,../../../..,../../../..,../../../..,,
2025,生物,江西,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,山东,新高考,2020,地方/区域卷,local,山东卷,done,../../papers/2025/生物/山东/山东卷/2025_生物_山东卷_原卷.pdf,../../papers/2025/生物/山东/山东卷/2025_生物_山东卷_OCR与考点.md,,rapidocr,7
2025,生物,河南,新高考,2025,地方/区域卷,local,河南卷,done,../../papers/2025/生物/河南/河南卷/2025_生物_河南卷_原卷.pdf,../../papers/2025/生物/河南/河南卷/2025_生物_河南卷_OCR与考点.md,,pypdf,23
2025,生物,湖北,新高考,2021,地方/区域卷,local,湖北卷,done,../../papers/2025/生物/湖北/湖北卷/2025_生物_湖北卷_原卷.pdf,../../papers/2025/生物/湖北/湖北卷/2025_生物_湖北卷_OCR与考点.md,,pypdf,12
2025,生物,湖南,新高考,2021,地方/区域卷,local,湖南卷,done,../../papers/2025/生物/湖南/湖南卷/2025_生物_湖南卷_原卷.pdf,../../papers/2025/生物/湖南/湖南卷/2025_生物_湖南卷_OCR与考点.md,,pypdf,22
2025,生物,广东,新高考,2021,地方/区域卷,local,广东卷,done,../../papers/2025/生物/广东/广东卷/2025_生物_广东卷_原卷.pdf,../../papers/2025/生物/广东/广东卷/2025_生物_广东卷_OCR与考点.md,,pypdf,23
2025,生物,广西,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,海南,新高考,2020,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,重庆,新高考,2021,地方/区域卷,local,重庆卷,missing,../../../..,../../../..,../../../..,,
2025,生物,四川,新高考,2025,地方/区域卷,local,四川卷,done,../../papers/2025/生物/四川/四川卷/2025_生物_四川卷_原卷.pdf,../../papers/2025/生物/四川/四川卷/2025_生物_四川卷_OCR与考点.md,,pypdf,
2025,生物,贵州,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,云南,新高考,2025,地方/区域卷,local,云南卷,done,../../papers/2025/生物/云南/云南卷/2025_生物_云南卷_原卷.pdf,../../papers/2025/生物/云南/云南卷/2025_生物_云南卷_OCR与考点.md,,pypdf,19
2025,生物,西藏,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,陕西,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/生物/陕西/山西卷/2025_生物_陕西山西卷_原卷.pdf,../../papers/2025/生物/陕西/山西卷/2025_生物_陕西山西卷_OCR与考点.md,,pypdf,21
2025,生物,甘肃,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,生物,青海,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/生物/青海/山西卷/2025_生物_青海山西卷_原卷.pdf,../../papers/2025/生物/青海/山西卷/2025_生物_青海山西卷_OCR与考点.md,,pypdf,21
2025,生物,宁夏,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/生物/宁夏/山西卷/2025_生物_宁夏山西卷_原卷.pdf,../../papers/2025/生物/宁夏/山西卷/2025_生物_宁夏山西卷_OCR与考点.md,,pypdf,21
2025,生物,新疆,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,北京,新高考,2020,地方/区域卷,local,北京卷,done,../../papers/2025/政治/北京/北京卷/2025_政治_北京卷_原卷.pdf,../../papers/2025/政治/北京/北京卷/2025_政治_北京卷_OCR与考点.md,,pypdf,26
2025,政治,天津,新高考,2020,地方/区域卷,local,天津卷,missing,../../../..,../../../..,../../../..,,
2025,政治,河北,新高考,2021,地方/区域卷,local,河北卷,done,../../papers/2025/政治/河北/河北卷/2025_政治_河北卷_原卷.pdf,../../papers/2025/政治/河北/河北卷/2025_政治_河北卷_OCR与考点.md,,pypdf,20
2025,政治,山西,新高考,2025,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,内蒙古,新高考,2025,地方/区域卷,local,内蒙古卷,done,../../papers/2025/政治/内蒙古/内蒙古卷/2025_政治_内蒙古卷_原卷.pdf,../../papers/2025/政治/内蒙古/内蒙古卷/2025_政治_内蒙古卷_OCR与考点.md,,pypdf,11
2025,政治,辽宁,新高考,2021,地方/区域卷,local,内蒙古卷,done,../../papers/2025/政治/辽宁/内蒙古卷/2025_政治_辽宁内蒙古卷_原卷.pdf,../../papers/2025/政治/辽宁/内蒙古卷/2025_政治_辽宁内蒙古卷_OCR与考点.md,,pypdf,11
2025,政治,吉林,新高考,2024,地方/区域卷,local,内蒙古卷,done,../../papers/2025/政治/吉林/内蒙古卷/2025_政治_吉林内蒙古卷_原卷.pdf,../../papers/2025/政治/吉林/内蒙古卷/2025_政治_吉林内蒙古卷_OCR与考点.md,,pypdf,11
2025,政治,黑龙江,新高考,2024,地方/区域卷,local,内蒙古卷,done,../../papers/2025/政治/黑龙江/内蒙古卷/2025_政治_黑龙江内蒙古卷_原卷.pdf,../../papers/2025/政治/黑龙江/内蒙古卷/2025_政治_黑龙江内蒙古卷_OCR与考点.md,,pypdf,11
2025,政治,上海,新高考,2017,,missing,,missing,../../../..,../../../..,../../../..,,
