年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2018,英语,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/英语/浙江/浙江卷/2018_英语_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/英语/浙江/浙江卷/2018_英语_浙江卷_OCR与考点.md),[打开听力](../../papers/2018/英语/浙江/浙江卷/2018_英语_浙江卷_听力.mp3),pypdf,12
2018,物理,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2018/物理/上海/上海卷/2018_物理_上海卷_原卷.pdf),[打开Markdown](../../papers/2018/物理/上海/上海卷/2018_物理_上海卷_OCR与考点.md),,pypdf,4
2018,物理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/物理/浙江/浙江卷/2018_物理_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/物理/浙江/浙江卷/2018_物理_浙江卷_OCR与考点.md),,pypdf,11
2018,化学,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2018/化学/上海/上海卷/2018_化学_上海卷_原卷.pdf),[打开Markdown](../../papers/2018/化学/上海/上海卷/2018_化学_上海卷_OCR与考点.md),,pypdf,6
2018,化学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/化学/浙江/浙江卷/2018_化学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/化学/浙江/浙江卷/2018_化学_浙江卷_OCR与考点.md),,pypdf,12
2018,生物,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2018/生物/上海/上海卷/2018_生物_上海卷_原卷.pdf),[打开Markdown](../../papers/2018/生物/上海/上海卷/2018_生物_上海卷_OCR与考点.md),,pypdf,11
2018,生物,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/生物/浙江/浙江卷/2018_生物_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/生物/浙江/浙江卷/2018_生物_浙江卷_OCR与考点.md),,pypdf,10
2018,政治,上海,新高考,2017,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2018,政治,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/政治/浙江/浙江卷/2018_政治_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/政治/浙江/浙江卷/2018_政治_浙江卷_OCR与考点.md),,pypdf,8
2018,历史,上海,新高考,2017,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2018,历史,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/历史/浙江/浙江卷/2018_历史_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/历史/浙江/浙江卷/2018_历史_浙江卷_OCR与考点.md),,pypdf,11
2018,地理,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2018/地理/上海/上海卷/2018_地理_上海卷_原卷.pdf),[打开Markdown](../../papers/2018/地理/上海/上海卷/2018_地理_上海卷_OCR与考点.md),,pypdf,6
2018,地理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2018/地理/浙江/浙江卷/2018_地理_浙江卷_原卷.pdf),[打开Markdown](../../papers/2018/地理/浙江/浙江卷/2018_地理_浙江卷_OCR与考点.md),,pypdf,10
2019,语文,上海,新高考,2017,地方/区域卷,local,上海卷,pdf_only,[打开试卷](../../papers/2019/语文/上海/上海卷/2019_语文_上海卷_原卷.pdf),,,,
2019,语文,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/语文/浙江/浙江卷/2019_语文_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/语文/浙江/浙江卷/2019_语文_浙江卷_OCR与考点.md),,rapidocr,7
2019,数学,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/数学/上海/上海卷/2019_数学_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/数学/上海/上海卷/2019_数学_上海卷_OCR与考点.md),,pypdf,4
2019,数学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/数学/浙江/浙江卷/2019_数学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/数学/浙江/浙江卷/2019_数学_浙江卷_OCR与考点.md),,pypdf,5
2019,英语,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/英语/上海/上海卷/2019_英语_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/英语/上海/上海卷/2019_英语_上海卷_OCR与考点.md),[打开听力](../../papers/2019/英语/上海/上海卷/2019_英语_上海卷_听力.mp3),pypdf,9
2019,英语,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/英语/浙江/浙江卷/2019_英语_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/英语/浙江/浙江卷/2019_英语_浙江卷_OCR与考点.md),[打开听力](../../papers/2019/英语/浙江/浙江卷/2019_英语_浙江卷_听力.mp3),pypdf,11
2019,物理,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/物理/上海/上海卷/2019_物理_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/物理/上海/上海卷/2019_物理_上海卷_OCR与考点.md),,pypdf,6
2019,物理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/物理/浙江/浙江卷/2019_物理_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/物理/浙江/浙江卷/2019_物理_浙江卷_OCR与考点.md),,pypdf,8
2019,化学,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/化学/上海/上海卷/2019_化学_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/化学/上海/上海卷/2019_化学_上海卷_OCR与考点.md),,pypdf,6
2019,化学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/化学/浙江/浙江卷/2019_化学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/化学/浙江/浙江卷/2019_化学_浙江卷_OCR与考点.md),,pypdf,9
2019,生物,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/生物/上海/上海卷/2019_生物_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/生物/上海/上海卷/2019_生物_上海卷_OCR与考点.md),,pypdf,9
2019,生物,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/生物/浙江/浙江卷/2019_生物_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/生物/浙江/浙江卷/2019_生物_浙江卷_OCR与考点.md),,pypdf,10
2019,政治,上海,新高考,2017,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2019,政治,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/政治/浙江/浙江卷/2019_政治_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/政治/浙江/浙江卷/2019_政治_浙江卷_OCR与考点.md),,pypdf,5
2019,历史,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/历史/上海/上海卷/2019_历史_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/历史/上海/上海卷/2019_历史_上海卷_OCR与考点.md),,pypdf,6
2019,历史,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/历史/浙江/浙江卷/2019_历史_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/历史/浙江/浙江卷/2019_历史_浙江卷_OCR与考点.md),,pypdf,10
2019,地理,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2019/地理/上海/上海卷/2019_地理_上海卷_原卷.pdf),[打开Markdown](../../papers/2019/地理/上海/上海卷/2019_地理_上海卷_OCR与考点.md),,pypdf,7
2019,地理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2019/地理/浙江/浙江卷/2019_地理_浙江卷_原卷.pdf),[打开Markdown](../../papers/2019/地理/浙江/浙江卷/2019_地理_浙江卷_OCR与考点.md),,pypdf,10
2020,语文,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/语文/北京/北京卷/2020_语文_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/语文/北京/北京卷/2020_语文_北京卷_OCR与考点.md),,rapidocr,10
2020,语文,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/语文/天津/天津卷/2020_语文_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/语文/天津/天津卷/2020_语文_天津卷_OCR与考点.md),,rapidocr,10
2020,语文,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2020/语文/上海/上海卷/2020_语文_上海卷_原卷.pdf),[打开Markdown](../../papers/2020/语文/上海/上海卷/2020_语文_上海卷_OCR与考点.md),,rapidocr,9
2020,语文,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/语文/浙江/浙江卷/2020_语文_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/语文/浙江/浙江卷/2020_语文_浙江卷_OCR与考点.md),,rapidocr,13
2020,语文,山东,新高考,2020,全国卷,common,新高考Ⅰ卷,done,[打开试卷](../../papers/2020/语文/全国/新高考Ⅰ卷/2020_语文_新高考Ⅰ卷_原卷.pdf),[打开Markdown](../../papers/2020/语文/全国/新高考Ⅰ卷/2020_语文_新高考Ⅰ卷_OCR与考点.md),,rapidocr,11
2020,语文,海南,新高考,2020,全国卷,common,新高考Ⅱ卷,done,[打开试卷](../../papers/2020/语文/全国/新高考Ⅱ卷/2020_语文_新高考Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2020/语文/全国/新高考Ⅱ卷/2020_语文_新高考Ⅱ卷_OCR与考点.md),,rapidocr,11
2020,数学,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/数学/北京/北京卷/2020_数学_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/数学/北京/北京卷/2020_数学_北京卷_OCR与考点.md),,pypdf,8
2020,数学,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/数学/天津/天津卷/2020_数学_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/数学/天津/天津卷/2020_数学_天津卷_OCR与考点.md),,pypdf,6
2020,数学,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2020/数学/上海/上海卷/2020_数学_上海卷_原卷.pdf),[打开Markdown](../../papers/2020/数学/上海/上海卷/2020_数学_上海卷_OCR与考点.md),,pypdf,3
2020,数学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/数学/浙江/浙江卷/2020_数学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/数学/浙江/浙江卷/2020_数学_浙江卷_OCR与考点.md),,pypdf,4
2020,数学,山东,新高考,2020,全国卷,common,新高考Ⅰ卷,done,[打开试卷](../../papers/2020/数学/全国/新高考Ⅰ卷/2020_数学_新高考Ⅰ卷_原卷.pdf),[打开Markdown](../../papers/2020/数学/全国/新高考Ⅰ卷/2020_数学_新高考Ⅰ卷_OCR与考点.md),,pypdf,5
